#HGNC ID	HGNC symbol
8406	OR7E33P
49317	EIF4EBP2P2
33894	POTEC
39345	ELL2P3
48476	RNU1-134P
33685	MIR941-2
39445	HNRNPA1P18
33686	MIR941-3
15107	OR13E1P
16160	DNTTIP1
33684	MIR941-1
48346	KRT8P50
48846	NDUFA5P4
33511	TCEB3CL2
36256	RPL37P21
35398	MIR1914
3635	FDPSP4
14686	JAM2
27244	LINC00961
32903	MIR647
42004	RPS3AP52
36744	RPS3AP47
31404	SDAD1P2
36168	RPL12P34
31885	SPCS2P1
30224	SLC52A2
27655	LINC00176
42449	PGAM1P2
838	ATP5E
31007	TCEB3CL
46777	RN7SL761P
48094	RNU6-1131P
39776	ZDHHC20P4
42432	YBX1P10
39666	SNRPFP3
31021	ATP5HP1
18476	RPS27L
42710	LINC00383
15101	OR13C6P
37753	CICP4
42731	LINC00401
46503	RN7SL487P
41633	MIR4527
24617	TCEB3C
47517	RNU6-554P
39417	SRSF1P1
47573	RNU6-610P
16202	LINC00266-1
8275	OR2S1P
49403	PDIA3P2
42494	RNY3P10
17490	TPMTP1
39788	PSMC1P13
15113	OR2AM1P
43476	MIR5572
47343	RNU6-380P
46989	RNU4-53P
10561	ATXN8OS
16582	FAT1P1
39316	HMGB3P24
32803	MIR549
30771	TCEB3B
47671	RNU6-708P
42544	RNU6-54P
18930	KRTAP13-6P
41697	MIR4475
45725	RNU7-191P
42040	SOGA2P1
38355	MIR4327
3805	FOXD4
43356	RNA5SP456
42658	LINC00348
18929	KRTAP13-5P
41670	MIR4540
41894	MIR4743
41793	MIR4476
39791	RABEPKP1
18950	KRTAP19-9P
41845	MIR4514
16553	RPS11P1
42030	H3F3BP1
18951	KRTAP19-10P
44089	ANP32BP3
36388	RPL21P109
18952	KRTAP19-11P
16557	PGAM3P
36284	RPL35AP31
16194	LINC00687
18954	KRTAP21-4P
35906	RPS10P21
18948	KRTAP8-2P
42608	RNA5SP32
45835	RN7SKP111
18949	KRTAP8-3P
30273	RAB8B
39850	RPL18AP17
18934	KRTAP7-1
35627	RPL21P110
12498	UBE3AP2
49341	HSPE1P22
16531	PA2G4P2
42570	RNU6-80P
15937	UBE2C
42569	RNU6-79P
30152	PSMD10P3
1145	FBXW11P1
16099	GCNT7
31059	FABP5P1
15892	SLMO2
13603	FBXL6
42556	RNU6-66P
44491	CHCHD4P3
44313	ISM1-AS1
46479	RN7SL463P
42508	RNU4-10P
33915	STRCP1
25364	HDHD2
42485	RNY1P8
39803	MARK2P12
16577	GAPDHP2
42721	LINC00393
47241	RNU6-278P
847	ATP5J
16579	RPS3P1
42720	LINC00392
16543	AIMP1P1
42732	LINC00402
46880	RN7SL864P
23683	RAB1C
42482	RNY1P5
47191	RNU6-228P
23383	ZBTB26
35496	RPL21P108
45895	RN7SKP171
16100	FAM209A
16201	MACROD2-IT1
42708	LINC00381
30926	DTWD1
8588	PAICSP1
16594	RPS10P2
15771	CPXM1
37193	MACROD2-AS1
27890	LINC00347
45658	RNU7-124P
16101	FAM209B
42202	MTND4P15
48122	RNU6-1159P
47078	RNU6-115P
47316	RNU6-353P
43375	RNA5SP475
39714	RIOK3P1
16588	ENSAP1
48419	RNU1-77P
34282	RNU6-38P
16334	PPIAP17
39274	SSR1P2
31054	CATSPER2P1
37368	VN1R48P
18313	RHOV
16585	RPLP0P1
37293	CTAGE11P
23678	FAM220BP
49121	LINC01078
49407	ADAMTS7P1
8568	FURIN
40874	TBC1D4-AS1
17044	NIPA2
39952	CYP4F33P
34271	RNU6-27P
48473	RNU1-131P
39611	SNX18P3
16571	DYNLT3P1
21738	ADCK5
16572	RPS27AP2
27239	FAM201A
42012	FAM204CP
41866	MIR4744
45793	RN7SKP69
43705	LINC00561
4071	GABPA
